3 472 4 320 157 80
4 407 5 411 101 82
6 1024 6 384 170 64
6 588 11 820 98 74
11 715 12 991 65 82
5 794 5 340 158 68
7 929 6 809 132 134
10 663 9 619 66 68
9 892 10 728 99 72
34 6074 34 7054 178 207
8 1158 11 802 144 72
4 684 3 156 171 52
2 176 3 220 88 73
7 831 9 739 118 82
4 635 6 408 158 68
2 228 4 240 114 60
14 1431 16 1359 102 84
5 586 4 272 117 68
2 357 2 353 178 176
5 647 5 459 129 91
7 508 5 388 72 77
7 770 9 540 110 60
4 318 7 555 79 79
3 225 3 188 75 62
4 524 4 320 131 80
2 178 4 327 89 81
9 1060 12 840 117 70
6 752 9 612 125 68
11 1022 13 1240 92 95
10 1090 11 900 109 81
0 0 0 0 0 0
5 460 5 411 92 82
13 1179 13 927 90 71
5 296 3 188 59 62
5 416 6 478 83 79
3 472 4 320 157 80
6 877 5 757 146 151
10 1105 12 927 110 77
6 968 8 761 161 95
8 584 7 436 73 62
8 1322 12 871 165 72
5 1075 5 324 215 64
7 364 8 632 52 79
7 894 5 446 127 89
7 505 8 597 72 74
3 332 4 280 110 70
7 614 9 698 87 77
4 321 4 280 80 70
2 280 2 176 140 88
5 554 8 647 110 80
5 728 7 468 145 66
6 855 8 560 142 70
8 526 9 574 65 63
4 671 5 377 167 75
5 400 5 300 80 60
17 1111 15 1247 65 83
12 1012 11 708 84 64
1 52 4 248 52 62
7 875 6 720 125 120
3 365 5 372 121 74
2 184 2 176 92 88
8 861 12 879 107 73
4 739 6 416 184 69
1 140 2 104 140 52
17 2029 12 1517 119 126
23 5674 25 5134 246 205
10 1283 8 962 128 120
7 730 12 959 104 79
11 677 12 904 61 75
1 192 2 144 192 72
10 850 10 783 85 78
4 1073 5 260 268 52
5 576 4 280 115 70
7 546 10 775 78 77
22 7632 22 5376 346 244
16 1891 28 19703 118 703
1 89 1 89 89 89
6 849 8 602 141 75
3 549 2 144 183 72
10 870 16 1448 87 90
7 749 10 696 107 69
7 455 7 548 65 78
6 595 6 503 99 83
1 192 1 92 192 92
6 384 6 719 64 119
15 2272 15 2787 151 185
8 989 9 665 123 73
1 141 1 52 141 52
7 790 10 783 112 78
3 480 3 188 160 62
2 392 0 0 196 0
12 1342 16 1239 111 77
4 439 5 335 109 67
8 704 7 620 88 88
7 650 8 639 92 79
2 137 2 143 68 71
14 1692 11 1180 120 107
27 3682 29 3060 136 105
4 737 4 280 184 70
5 742 4 497 148 124
7 597 11 1653 85 150
12 1999 10 693 166 69
4 464 5 404 116 80
8 634 14 975 79 69
6 625 6 391 104 65
1 88 2 176 88 88
12 1045 13 1137 87 87
3 332 3 268 110 89
6 420 7 460 70 65
8 735 8 639 91 79
10 1589 11 2300 158 209
84 61575 84 7222 733 85
116 57723 118 10456 497 88
102 44035 104 9407 431 90
103 45767 114 10098 444 88
107 48055 108 9631 449 89
100 41358 107 9486 413 88
82 36659 86 7712 447 89
69 31102 71 6519 450 91
122 57602 123 11256 472 91
139 78017 142 12472 561 87
122 67369 124 11055 552 89
143 78339 142 12539 547 88
141 75497 149 13100 535 87
139 74349 145 12835 534 88
120 69970 124 10907 583 87
135 76709 139 12655 568 91
145 84046 148 13056 579 88
132 77884 137 12178 590 88
84 40706 91 8549 484 93
92 47129 95 8499 512 89
116 56056 126 11127 483 88
109 46283 106 9484 424 89
93 46973 95 8631 505 90
120 59563 122 10805 496 88
111 63307 114 10113 570 88
130 62274 137 12245 479 89
135 67337 138 12098 498 87
120 62332 122 10833 519 88
114 55801 117 10644 489 90
118 57826 125 11120 490 88
113 56170 112 9984 497 89
111 58256 124 11014 524 88
102 58692 96 8589 575 89
141 64872 155 13543 460 87
132 67553 137 12256 511 89
134 68495 137 12016 511 87
130 65695 134 11775 505 87
125 60433 128 11328 483 88
128 67951 131 11546 530 88
129 63568 129 11387 492 88
141 71008 141 12508 503 88
130 65361 141 12496 502 88
144 74622 149 12993 518 87
144 73134 153 13443 507 87
147 76423 149 13107 519 87
138 66649 141 12845 482 91
140 67771 148 13110 484 88
147 74210 149 12993 504 87
144 70493 144 12886 489 89
137 69551 139 12269 507 88
142 76379 146 12811 537 87
147 78193 152 13394 531 88
137 78169 146 12893 570 88
111 73316 111 9890 660 89
138 82946 143 12669 601 88
142 83170 149 13218 585 88
141 86513 146 12881 613 88
142 83915 148 13048 590 88
112 49953 117 10392 446 88
124 53938 125 11138 434 89
117 55015 123 10996 470 89
