40 186308 40 186308 4657 4657
5 793 5 793 158 158
31 185820 31 185820 5994 5994
38 186577 38 186577 4909 4909
37 186333 37 186333 5036 5036
7 2988 7 2988 426 426
34 183691 34 183691 5402 5402
40 186798 40 186798 4669 4669
37 186764 37 186764 5047 5047
22 96643 22 96643 4392 4392
20 90441 20 90441 4522 4522
41 186952 41 186952 4559 4559
42 186786 42 186786 4447 4447
22 97283 22 97283 4421 4421
19 89569 19 89569 4714 4714
43 186773 43 186773 4343 4343
36 186338 36 186338 5176 5176
37 186056 37 186056 5028 5028
5 492 5 492 98 98
36 186046 36 186046 5167 5167
40 186060 40 186060 4651 4651
5 793 5 793 158 158
30 185406 30 185406 6180 6180
38 186333 38 186333 4903 4903
36 186258 36 186258 5173 5173
17 52167 17 52167 3068 3068
18 133671 18 133671 7426 7426
42 186340 42 186340 4436 4436
38 185910 38 185910 4892 4892
32 185476 32 185476 5796 5796
4 244 4 244 61 61
37 185588 37 185588 5015 5015
41 185912 41 185912 4534 4534
5 793 5 793 158 158
31 185019 31 185019 5968 5968
38 186296 38 186296 4902 4902
36 185875 36 185875 5163 5163
0 0 0 0 0 0
41 186631 41 186631 4551 4551
35 186517 35 186517 5329 5329
42 186777 42 186777 4447 4447
3 172 3 172 57 57
38 186748 38 186748 4914 4914
